date,pm25,pm10,o3,no2,so2
2020/2/4,16,9,25,10,
2020/2/5,21,25,11,26,1
2020/2/6,65,20,20,18,1
2020/2/7,56,15,25,7,
2020/2/8,46,,30,2,
2020/1/3,11,5,28,1,
2020/1/4,10,,,,
2020/1/7,18,7,27,2,
2020/1/8,14,13,27,4,
2020/1/9,25,9,20,14,
2020/1/10,31,8,29,6,
2020/1/11,19,3,30,,
2020/1/12,8,,,,
2020/1/14,14,6,28,6,
2020/1/15,16,5,29,2,
2020/1/16,11,7,29,6,
2020/1/17,15,7,24,7,
2020/1/18,13,,,,
2020/1/21,28,9,22,12,1
2020/1/22,21,21,7,18,1
2020/1/23,69,27,1,13,
2020/1/24,83,,,,
2020/1/29,22,6,26,5,
2020/1/30,14,6,29,5,
2020/1/31,15,3,26,3,
2020/2/1,9,,,,
2019/10/1,8,,15,9,
2019/10/31,25,11,24,8,
2019/11/1,36,9,21,7,
2019/11/2,35,4,24,8,
2019/11/3,13,9,16,8,
2019/11/4,35,12,9,17,
2019/11/5,44,8,17,9,
2019/11/6,26,11,17,14,
2019/11/7,37,9,16,15,
2019/11/8,31,7,21,15,
2019/11/9,21,12,24,9,
2019/11/10,45,8,13,13,
2019/11/11,26,9,24,7,
2019/11/12,27,8,26,7,
2019/11/13,21,7,20,8,
2019/11/14,22,9,,,
2019/11/16,23,10,8,14,
2019/11/17,35,16,10,11,
2019/11/18,59,15,5,19,1
2019/11/19,53,21,17,10,1
2019/11/20,66,20,22,6,
2019/11/21,64,,,,
2019/11/23,42,17,15,14,
2019/11/24,50,,,,
2019/11/26,37,9,24,8,
2019/11/27,23,16,21,15,
2019/11/28,40,15,5,12,
2019/11/29,44,18,11,24,1
2019/11/30,53,,,,
2019/12/3,31,11,3,24,1
2019/12/4,37,9,26,9,
2019/12/5,22,4,27,3,
2019/12/6,10,3,25,4,
2019/12/7,9,,,,
2019/12/10,26,4,28,2,
2019/12/11,14,5,25,6,
2019/12/12,11,6,27,11,
2019/12/13,18,9,27,5,
2019/12/14,20,4,31,2,
2019/12/15,6,,,,
2019/12/17,11,5,16,9,
2019/12/18,16,6,26,6,
2019/12/19,15,19,25,19,1
2019/12/20,44,14,22,16,
2019/12/21,45,13,5,21,1
2019/12/22,50,,,,
2019/12/24,27,7,28,5,
2019/12/25,23,18,23,10,
2019/12/26,49,,,,
2019/7/1,22,8,18,11,
2019/7/2,29,9,21,14,
2019/7/3,32,10,24,12,
