name	lnl	lat	start	end	type
CENTRAL SENIOR MXD N S	-6.25505	53.3512	09:00	14:00	school
CENTRAL INFS SCHOOL	-6.25492	53.351	09:00	14:00	school
NAOMH PADRAIG BOYS	-6.22435	53.3432	09:00	14:00	school
SCOIL AN CROI NAOFA	-6.27337	53.3839	09:00	14:00	school
PRESENTATION PRIMARY SCHOOL	-6.27083	53.3481	09:00	14:00	school
GOLDENBRIDGE CONVENT	-6.31813	53.3364	09:00	14:00	school
ST JOSEPHS BOYS N S	-6.28109	53.3094	09:00	14:00	school
STANHOPE ST CONVENT	-6.27975	53.3524	09:00	14:00	school
CHAPELIZOD N S	-6.34376	53.35	09:00	14:00	school
ST PATRICKS N SCHOOL	-6.25733	53.37	09:00	14:00	school
CITY QUAY BOYS N S	-6.25033	53.3464	09:00	14:00	school
ST LAURENCE O TOOLE JUNIOR BOYS	-6.2415	53.3509	09:00	14:00	school
SCOIL MHUIRE	-6.21121	53.328	09:00	14:00	school
GARDINER STREET CONVENT	-6.25793	53.3579	09:00	14:00	school
KILDARE PLACE  N S	-6.26266	53.3183	09:00	14:00	school
PRESENTATION PRIMARY SCHOOL	-6.27538	53.3354	09:00	14:00	school
PRESENTATION PRIMARY SCHOOL	-6.28717	53.3104	09:00	14:00	school
HOWTH RD MXD N S	-6.22518	53.364	09:00	14:00	school
ST COLUMBAS N S MXD	-6.2413	53.3585	09:00	14:00	school
ST ENDAS PRIMARY SCHOOL	-6.26619	53.3401	09:00	14:00	school
RATHGAR N S	-6.27447	53.3138	09:00	14:00	school
ZION PARISH PRIMARY SCHOOL	-6.27372	53.3077	09:00	14:00	school
GLASNEVIN N S	-6.2665	53.3724	09:00	14:00	school
S N SAN VINSEANN CAILIN	-6.24568	53.3572	09:00	14:00	school
ST PATRICKS GIRLS NS	-6.22468	53.3431	09:00	14:00	school
SANDFORD N S	-6.2472	53.3206	09:00	14:00	school
ST PATRICKS NS	-6.34241	53.3483	09:00	14:00	school
ST CATHERINES WEST N S	-6.28226	53.3329	09:00	14:00	school
ST VINCENTS INF BOYS	-6.24589	53.3568	09:00	14:00	school
DRUMCONDRA N S	-6.24858	53.369	09:00	14:00	school
Star of the Sea	-6.21716	53.3359	09:00	14:00	school
LINDSAY ROAD N S	-6.2638	53.3647	09:00	14:00	school
ST BRIGIDS CONVENT N S	-6.23965	53.3341	09:00	14:00	school
ST BRIGIDS CONVENT	-6.27464	53.3766	09:00	14:00	school
